#F:MAG_U;F:MAGERR_U;F:MAG_G;F:MAGERR_G;F:MAG_R;F:MAGERR_R;F:MAG_I;F:MAGERR_I;F:MAG_Z;F:MAGERR_Z;D:Z
22.744637,0.933038,23.949427,1.321703,22.563381,0.487815,21.335722,0.207350,20.834541,0.211591,0.659822
21.812412,0.395375,20.079805,0.037436,18.639351,0.013141,18.139557,0.010920,17.794157,0.012863,0.247556
22.637875,0.845657,21.808392,0.183958,20.101913,0.050544,19.462051,0.036918,19.010515,0.039436,0.378859
26.164307,21.765409,22.780584,0.450399,21.235491,0.143582,20.506508,0.096609,19.983610,0.096633,0.458715
24.139755,3.372459,21.711416,0.168240,19.977921,0.045089,19.334167,0.032816,18.892340,0.035369,0.369281
22.792639,0.975214,21.155434,0.100818,19.637339,0.032949,19.062325,0.025547,18.666134,0.028717,0.279366
22.891113,1.067800,22.983355,0.542882,21.331221,0.156816,20.388247,0.086639,19.922949,0.091382,0.528160
23.356897,1.639846,22.828562,0.470748,21.192806,0.138046,20.373344,0.085458,19.950348,0.093718,0.488419
23.937126,2.798304,23.591753,0.950746,21.904957,0.266002,20.647520,0.110007,20.022367,0.100145,0.680791
23.635719,2.119984,22.773380,0.447420,21.210375,0.140298,20.224367,0.074501,19.700323,0.074441,0.539285
21.000622,0.187194,19.418978,0.020368,18.207407,0.008828,17.703884,0.007311,17.280882,0.008017,0.130067
22.993477,1.173370,22.992348,0.547397,21.535658,0.189306,20.688004,0.114187,20.128359,0.110414,0.527029
23.066904,1.255470,21.416811,0.128259,19.804220,0.038423,19.201328,0.029037,18.786940,0.032096,0.324491
23.430349,1.754625,22.364407,0.306991,20.714922,0.088894,19.993023,0.060204,19.470051,0.060215,0.398432
23.456205,1.796912,21.323915,0.117741,19.631382,0.032768,19.029100,0.024777,18.616285,0.027428,0.306666
20.392822,0.106948,18.848793,0.012047,17.965605,0.007066,17.601355,0.006652,17.316385,0.008284,0.110005
21.989847,0.465568,20.264475,0.044377,18.744089,0.014472,18.221972,0.011782,17.877501,0.013889,0.279687
20.632723,0.133393,19.298367,0.018227,18.237846,0.009079,17.725206,0.007456,17.282106,0.008026,0.110292
22.647072,0.852851,22.427475,0.325352,21.624971,0.205537,20.831778,0.130354,20.272995,0.126148,0.743897
22.814949,0.995461,23.215336,0.672199,21.473486,0.178771,20.426075,0.089711,19.824627,0.083470,0.558244
24.214939,3.614267,23.099081,0.603943,21.657913,0.211869,20.904705,0.139411,20.422649,0.144791,0.494157
23.819921,2.511961,23.053610,0.579172,21.223745,0.142037,20.546757,0.100257,20.070175,0.104653,0.371949
23.352478,1.633185,21.822693,0.186398,19.984041,0.045344,19.342773,0.033077,18.930658,0.036639,0.365219
23.103157,1.298097,22.383537,0.312448,20.516016,0.074013,19.811106,0.050916,19.386505,0.055755,0.379795
23.256132,1.494504,23.009987,0.556362,21.277866,0.149296,20.295359,0.079535,19.812908,0.082574,0.532923
23.962536,2.864566,23.669558,1.021377,21.888664,0.262040,20.607990,0.106074,20.005312,0.098584,0.671466
23.105625,1.301050,22.747961,0.437067,21.665989,0.213451,20.844357,0.131873,20.397087,0.141422,0.633271
25.254314,9.413905,23.092894,0.600510,21.549309,0.191701,20.759047,0.121908,20.379002,0.139086,0.505607
22.048798,0.491545,23.627584,0.982646,22.413698,0.424993,21.412189,0.222479,20.968422,0.239359,0.732938
24.354279,4.109186,22.409389,0.319977,20.586302,0.078963,19.868803,0.053695,19.429022,0.057982,0.438014
21.998554,0.469317,23.090872,0.599393,21.250946,0.145640,20.133514,0.068520,19.648052,0.070942,0.550417
24.399124,4.282466,23.062639,0.584008,21.382513,0.164402,20.467897,0.093234,19.956411,0.094242,0.497577
24.323019,3.992562,23.096558,0.602541,21.332245,0.156964,20.266037,0.077416,19.818699,0.083016,0.544522
21.435291,0.279358,19.776232,0.028305,18.495962,0.011516,17.982740,0.009452,17.548937,0.010263,0.132220
24.819090,6.304928,22.778969,0.449729,21.129246,0.130197,20.076321,0.065004,19.538441,0.064130,0.538852
23.574327,2.003436,21.886272,0.197639,20.442440,0.069164,19.927282,0.056667,19.574726,0.066309,0.244390
24.034481,3.060816,22.776415,0.448673,21.179688,0.136388,20.411116,0.088483,19.929661,0.091949,0.486965
25.134207,8.428056,23.025406,0.564320,21.383020,0.164479,20.334467,0.082452,19.828173,0.083743,0.532952
24.922626,6.935772,22.049072,0.229611,20.182396,0.054433,19.479548,0.037517,19.031399,0.040201,0.401401
22.426699,0.696184,22.401884,0.317773,21.276344,0.149087,20.437052,0.090622,19.982965,0.096576,0.633851
21.815262,0.396414,20.245302,0.043600,18.613871,0.012837,18.024523,0.009823,17.635113,0.011110,0.240357
23.164200,1.373171,22.469439,0.338173,21.022474,0.118003,20.093140,0.066019,19.619734,0.069116,0.532355
22.560650,0.787598,20.802481,0.072838,19.338840,0.025029,18.742514,0.019029,18.354515,0.021552,0.237528
